Player,Current Team,Shot Team,Month,Year,Opponent,Opp. GK,Foot,Run up speed,Kick speed,X,Y,Result
Alex Crognale,,Birmingham Legion,10,2022,Pittsburgh Riverhounds,None,Right,Fast,Medium,3,0,Save
Alex Crognale,,Columbus Crew,6,2018,Chicago Fire,None,Right,Medium,Medium,9,1,Goal
Jake Rufe,,Birmingham Legion,4,2023,Chattanooga FC,None,Right,Fast,Fast,7,1,Goal
Jake Rufe,,Pittsburgh Riverhounds,10,2022,Pittsburgh Riverhounds,None,Right,Fast,Medium,8,0,Goal
Gabriel Alves,,Birmingham Legion,4,2023,Chattanooga FC,None,Left,Slow,Fast,9,1,Goal
Gabriel Alves,,Marshall Thundering Herd,11,2022,Virginia Cavaliers,None,Left,Slow,Fast,9,2,Goal
Gabriel Alves,,Agua Santa U20,1,2019,Avai U20,None,Left,Medium,Medium,8,0,Goal
Collin Smith,,North Texas SC,8,2022,Portland Timbers II,None,Right,Medium,Medium,9,0,Goal
Collin Smith,,North Texas SC,5,2022,Tacoma Defiance,None,Right,Medium,Medium,7,0,Save
Collin Smith,,North Texas SC,4,2022,Tacoma Defiance,None,Right,Medium,Medium,9,1,Goal
Grayson Dupont,,Birmingham Legion,10,2022,Pittsburgh Riverhounds,None,Right,Medium,Fast,8,0,Save
Enzo Martinez,,Birmingham Legion,9,2023,Miami FC,None,Right,Medium,Fast,3,0,Save
Enzo Martinez,,Birmingham Legion,8,2023,Detroit City,None,Right,Medium,Fast,2,0,Goal
Enzo Martinez,,Birmingham Legion,4,2023,Chattanooga FC,None,Right,Fast,Fast,5,0,Goal
Enzo Martinez,,Birmingham Legion,10,2022,Pittsburgh Riverhounds,None,Right,Fast,Medium,2,0,Goal
Enzo Martinez,,Birmingham Legion,9,2022,Indy Eleven,None,Right,Fast,Fast,3,0,Save
Enzo Martinez,,Charlotte Independence,11,2021,Memphis 901,None,Right,Fast,Medium,3,0,Save
Enzo Martinez,,Charlotte Independence,10,2021,Charleston Battery,None,Right,Fast,Fast,2,1,Goal
Enzo Martinez,,Charlotte Independence,8,2020,Memphis 901,None,Right,Fast,Medium,8,0,Goal
Enzo Martinez,,Charlotte Independence,8,2020,Birmingham Legion,None,Right,Fast,Fast,3,0,Goal
Enzo Martinez,,Charlotte Independence,9,2019,Hartford Athletic,None,Right,Fast,Medium,3,1,Goal
Enzo Martinez,,Charlotte Independence,5,2019,Florida Soccer Soldiers,None,Right,Fast,Fast,2,1,Save
Enzo Martinez,,Colorado Rapids,7,2018,Boca Juniors,None,Right,Fast,Medium,2,0,Goal
Enzo Martinez,,Charlotte Independence,9,2017,Richmond Kickers,None,Right,Fast,Fast,4,0,Goal
Enzo Martinez,,Charlotte Independence,6,2017,Richmond Kickers,None,Right,Fast,Fast,2,0,Goal
Enzo Martinez,,Charlotte Independence,5,2017,Charlotte Eagles,None,Right,Fast,Fast,4,0,Goal
Enzo Martinez,,Charlotte Independence,8,2016,FC Cincinnatti,None,Right,Fast,Medium,6,0,Save
Enzo Martinez,,Charlotte Independence,6,2016,City Islanders,None,Right,Medium,Medium,7,0,Goal
Enzo Martinez,,Charlotte Independence,5,2016,FC Montreal,None,Right,Fast,Fast,3,3,Miss
Enzo Martinez,,Charlotte Independence,4,2016,Charleston Battery,None,Right,Fast,Fast,3,2,Goal
Mikey Lopez,,Birmingham Legion,10,2022,Pittsburgh Riverhounds,None,Right,Medium,Medium,2,0,Goal
Mikey Lopez,,San Antonio FC,7,2018,OKC Energy,None,Right,Medium,Medium,9,0,Goal
Tyler Freeman,,Huntsville City,5,2023,Chicago Fire II,None,Right,Medium,Fast,6,2,Goal
Tyler Freeman,,Huntsville City,4,2023,FC Cincinnatti II,None,Right,Medium,Fast,8,0,Goal
Tyler Freeman,,Loudoun United,8,2022,Atlanta United II,None,Right,Fast,Fast,2,1,Goal
Prosper Kasim,,Birmingham Legion,8,2022,Atlanta United II,None,Left,Medium,Medium,2,0,Goal
Prosper Kasim,,Birmingham Legion,7,2022,Loudoun United,None,Left,Slow,Medium,9,0,Goal
Prosper Kasim,,Birmingham Legion,9,2019,Atlanta United II,None,Left,Medium,Fast,2,1,Goal
Prosper Kasim,,Birmingham Legion,7,2019,Atlanta United II,None,Left,Medium,Medium,3,0,Goal
Tyler Pasher,,Birmingham Legion,4,2023,Chattanooga FC,None,Left,Fast,Fast,9,0,Goal
Tyler Pasher,,Indy Eleven,10,2020,Saint Louis FC,None,Left,Fast,Fast,9,1,Goal
Tyler Pasher,,Indy Eleven,9,2020,Louisville City,None,Left,Fast,Fast,7,2,Goal
Neco Brett,,Birmingham Legion,8,2023,Detroit City,None,Right,Fast,Fast,2,0,Goal
Neco Brett,,Birmingham Legion,8,2023,FC Tulsa,None,Right,Fast,Fast,2,0,Goal
Neco Brett,,Birmingham Legion,8,2021,FC Tulsa,None,Right,Fast,Fast,3,0,Goal
Neco Brett,,Birmingham Legion,7,2021,Atlanta United II,None,Right,Medium,Fast,2,0,Goal
Neco Brett,,Birmingham Legion,7,2021,Indy Eleven,None,Right,Medium,Fast,2,0,Goal
Neco Brett,,Birmingham Legion,5,2021,Louisville City,None,Right,Fast,Fast,9,1,Goal
Neco Brett,,Birmingham Legion,9,2020,North Carolina FC,None,Right,Fast,Fast,4,0,Save
Neco Brett,,Birmingham Legion,8,2020,Memphis 901,None,Right,Medium,Medium,8,0,Goal
Neco Brett,,Birmingham Legion,8,2020,North Carolina FC,None,Right,Medium,Fast,7,0,Goal
Neco Brett,,Pittsburgh Riverhounds,10,2019,Birmingham Legion,None,Right,Medium,Fast,2,0,Goal
Neco Brett,,Pittsburgh Riverhounds,10,2019,Atlanta United II,None,Right,Medium,Medium,8,0,Goal
Neco Brett,,Pittsburgh Riverhounds,6,2019,Ottawa Fury,None,Right,Medium,Fast,3,0,Save
Neco Brett,,Pittsburgh Riverhounds,4,2019,Hartford Athletic,None,Right,Medium,Medium,7,0,Goal
Neco Brett,,Pittsburgh Riverhounds,4,2019,Louisville City,None,Right,Medium,Fast,2,2,Goal
Neco Brett,,Pittsburgh Riverhounds,7,2018,Charleston Battery,None,Right,Medium,Medium,7,0,Save
Juan Agudelo,,Pittsburgh Riverhounds,4,2023,Chattanooga FC,None,Right,Medium,Medium,7,1,Save
Juan Agudelo,,Pittsburgh Riverhounds,9,2022,Miami FC,None,Right,Medium,Medium,8,0,Save
Juan Agudelo,,Pittsburgh Riverhounds,8,2022,New York Red Bulls II,None,Right,Medium,Medium,6,1,Goal
Juan Agudelo,,Pittsburgh Riverhounds,8,2022,Memphis 901,None,Right,Medium,Medium,5,1,Goal
Juan Agudelo,,Pittsburgh Riverhounds,4,2022,Hartford Athletic,None,Right,Medium,Medium,9,0,Goal
Trevor Amann,Sacramento Republic,Northern Colorado FC,10,2023,Forward Madison,None,Right,Medium,Medium,8,0,Goal
